code,name
PA,Pennsylvania
KS,Kansas
AK,Alaska
HI,Hawaii
MN,Minnesota
IN,Indiana
AZ,Arizona
OK,Oklahoma
TX,Texas
AR,Arkansas
NJ,New Jersey
ID,Idaho
WA,Washington
KY,Kentucky
OH,Ohio
RI,Rhode Island
NH,New Hampshire
DE,Delaware
ZZ,Unknown/Foreign
AL,Alabama
WY,Wyoming
CO,Colorado
ND,North Dakota
MD,Maryland
VT,Vermont
WI,Wisconsin
FL,Florida
CA,California
NY,New York
VA,Virginia
GA,Georgia
SD,South Dakota
MS,Mississippi
SC,South Carolina
ME,Maine
PR,Puerto Rico
WV,West Virginia
OR,Oregon
TN,Tennessee
NM,New Mexico
MT,Montana
MO,Missouri
LA,Louisiana
IL,Illinois
MA,Massachusetts
DC,District of Columbia
GU,Guam
MP,Northern Mariana Islands
UT,Utah
NC,North Carolina
NE,Nebraska
IA,Iowa
NV,Nevada
CT,Connecticut
MI,Michigan
AS,American Samoa
VI,US Virgin Islands
